department_name,year,total_pop,violent_per_100k,homs_per_100k,rape_per_100k,rob_per_100k,agg_ass_per_100k,lon,lat
"Detroit, MI",1978,1294359,1668.93419831747,38.4746426609619,99.5087143520461,948.963927318464,581.986913985996,-83.0457538,42.331427
"El Paso, TX",1978,399000,373.4335839599,5.26315789473684,30.3258145363409,194.235588972431,143.609022556391,-106.4850217,31.7618778
"Fresno, CA",1978,194774,1025.2908499081,21.5634530276115,58.5293725035169,565.783934200663,379.414090176307,-119.7871247,36.7377981
"Houston, TX",1978,1486489,730.042401928302,32.5599449440931,73.8653296458971,494.588254605315,129.028872732997,-95.3698028,29.7604267
"Indianapolis, IN",1978,513271,727.296106735039,14.8069927971773,66.4366387347035,382.449037642883,263.603437560275,-86.158068,39.768403
"Kansas City, MO",1978,463931,1083.99740478649,24.7881689302935,73.7178589057424,401.783885965801,583.707490984651,-94.5785667,39.0997265
"Las Vegas, NV",1978,288865,999.082616447129,18.6938535301958,66.4670347740294,535.890467865612,378.031260277292,-115.1398296,36.1699412
"Los Angeles, CA",1978,2787525,1320.05990977659,23.3540506363172,88.501448417503,613.62678361629,594.577627106483,-118.2436849,34.0522342
"Memphis, TN",1978,683112,792.256613849559,16.5419433416482,97.2022157420745,424.088582838539,254.423871927297,-90.0489801,35.1495343
"Miami, FL",1978,330060,1900.2605586863,29.0856207962189,62.7158698418469,858.025813488457,950.433254559777,-80.1917902,25.7616798
"Milwaukee, WI",1978,623657,390.920008915157,7.69653832154534,46.179229929272,194.33759261902,142.70664804532,-87.9064736,43.0389025
"Minneapolis, MN",1978,374800,826.574172892209,6.93703308431163,81.9103521878335,450.373532550694,287.35325506937,-93.2650108,44.977753
"Nashville, TN",1978,452440,696.887985147202,17.9029263548758,47.9621607284944,391.654141985678,239.368756078154,-86.7816016,36.1626638
"New Orleans, LA",1978,559160,1365.44101867086,38.6293726303741,72.6089133700551,744.688461263324,509.514271407111,-90.0715323,29.95106579999999
"New York, NY",1978,7242886,1693.86899089672,20.7513966117926,53.597419592135,1022.0925747002,597.4275999926,-74.0059728,40.7127753
"Oklahoma City, OK",1978,381184,946.26217259906,17.5768132975151,82.374916051041,268.374328408328,577.936114842176,-97.5164276,35.4675602
"Omaha, NE",1978,364446,509.266118986077,6.58533774550962,44.45102978219,240.91360585656,217.316145601818,-95.9345034,41.2565369
"Orlando, FL",1978,118393,1368.32414078535,10.9803789075368,90.3769648543411,346.304257853083,920.66253917039,-81.3792365,28.5383355
"Philadelphia, PA",1978,1885533,655.994883144448,18.6684613846589,38.397630802537,374.907254341345,224.021536615906,-75.1652215,39.9525839
"Phoenix, AZ",1978,696763,775.155971255649,12.6298325255503,66.450141583293,291.490793856735,404.585203290071,-112.0740373,33.4483771
"Pittsburgh, PA",1978,479443,1004.91612141589,13.7659742659711,48.180909930899,635.320569911335,307.648667307688,-79.9958864,40.44062479999999
"Raleigh, NC",1978,150124,429.64482694306,7.99339212917322,31.9735685166929,115.238069862247,274.439796434947,-78.6381787,35.7795897
"Sacramento, CA",1978,261465,1223.10825540703,23.3300824202092,83.3763601246821,605.052301455262,511.34951140688,-121.4943996,38.5815719
"Salt Lake City, UT",1978,185000,574.054054054054,11.3513513513514,70.8108108108108,243.783783783784,248.108108108108,-111.8910474,40.7607793
"San Antonio, TX",1978,816780,421.900634197703,16.6507505080928,37.2193246651485,176.057200225275,191.973358799187,-98.49362819999999,29.4241219
"San Diego, CA",1978,797293,566.91830983089,8.52885952842932,39.6341119262304,317.323744219503,201.431594156728,-117.1610838,32.715738
"San Francisco, CA",1978,658611,1595.63080483017,17.9164939547016,88.5196269117886,988.292026704686,500.902657258989,-122.4194155,37.7749295
"San Jose, CA",1978,587621,468.839609203892,7.48781952993511,62.4552219883224,196.555262660797,202.341305024837,-121.8863286,37.3382082
"Seattle, WA",1978,489961,1000.0795981721,11.0212853676109,73.4752357840726,460.6489087907,454.934168229716,-122.3320708,47.6062095
"St. Louis, MO",1978,525123,1922.40675041847,39.9906307665061,94.6444928140645,956.918664769968,830.852962067935,-90.19940419999999,38.6270025
"Tucson, AZ",1978,309200,534.928848641656,8.40879689521345,50.1293661060802,188.874514877102,287.51617076326,-110.9747108,32.2226066
"Tulsa, OK",1978,356000,606.741573033708,12.6404494382022,54.2134831460674,171.067415730337,368.820224719101,-95.99277500000001,36.1539816
"Virginia Beach, VA",1978,240654,193.223466055,1.24660300680645,27.8408004853441,70.6408370523656,93.4952255104839,-75.97798499999999,36.8529263
"Washington, DC",1978,674000,1411.72106824926,28.0415430267062,66.3204747774481,939.614243323442,377.744807121662,-77.0368707,38.9071923
"Wichita, KS",1978,260642,472.295332294872,9.59170049339707,51.0278466248724,207.948066696849,203.727718479754,-97.33005299999999,37.68717609999999
"Albuquerque, NM",1979,302120,886.733748179531,15.5567324242023,71.1637759830531,269.760360121806,530.25287965047,-106.650422,35.0843859
"Atlanta, GA",1979,423103,2532.48027076149,54.5966348619603,155.044989045221,1226.41531731044,1096.42332954387,-84.3879824,33.7489954
"Austin, TX",1979,337727,442.66522960853,12.7321771726868,63.9569830069849,170.848051828844,195.128017600014,-97.7430608,30.267153
"Boston, MA",1979,599582,1899.99032659419,15.3440230026919,77.387246448359,1100.76686758442,706.492189558726,-71.0588801,42.3600825
